track_id,track_name,artist_name,album_release_date,month_of_release,track_popularity,duration_ms,duration_min,explicit,is_hit
2Cfp7M8V1Mtw8UiAjfxmY0,when the party's over,Billie Eilish,2023-05-31,5,14.0,199931,3.3321833333333335,0,0
6PnvXbH3TmPsbH91V0IUpC,"What Was I Made For? (From ""Barbie"") - Piano Instrumental Version",Finneas O'Connell,2023-09-01,9,15.0,215781,3.59635,0,0
38xoUJ0buB6GPMYUQufOnI,ilomilo,Billie Eilish,2023-06-29,6,20.0,156370,2.6061666666666667,0,0
20qAjCnjM2t5eDr37jTncq,bitches broken hearts,Billie Eilish,2023-04-14,4,17.0,176471,2.9411833333333335,1,0
7ozDOwJmSth2luZMQperPs,when the party's over,Billie Eilish,2023-08-04,8,15.0,199931,3.3321833333333335,0,0
4VZbatewOg4LjFIvO1L9Pw,when the party's over,Billie Eilish,2023-05-30,5,15.0,199931,3.3321833333333335,0,0
0cyIGpK9HZQG1WxmlifXmW,xanny,Billie Eilish,2023-04-10,4,16.0,243725,4.062083333333334,0,0
4a2V4rKcDNv4Zn1TgVJVaI,TV,Billie Eilish,2023-09-20,9,16.0,281380,4.689666666666667,0,0
40D9hF4ojhcL024kblcT2m,xanny,Billie Eilish,2023-04-11,4,15.0,243725,4.062083333333334,0,0
4DXSspixN8EJBQLk7SG6Mr,TV,Billie Eilish,2023-07-03,7,16.0,281380,4.689666666666667,0,0
