track_id,track_name,artist_id,artist_name,album_id,album_name,album_release_date,release_date_precision,popularity,duration_ms,explicit,source,source_id
43SMQMC2X2fAOuTPRnSGrG,Tu No Metes Cabra,4q3ewBCX7sLwd24euuV69X,Bad Bunny,1zyFFgmRlW5GbTyTTyjQ8w,Tu No Metes Cabra,2017-07-06,day,68,170762,True,artist,Bad Bunny
4jhHaLksdP8DJZzxYAjOSz,Kemba Walker,5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,2JwUsV3QP7FMWx1Fzt6dHQ,Sauce Boyz,2020-01-31,day,69,152960,True,artist,Bad Bunny
1XDBrOUa5swy7lhO06mggm,Sexto Sentido (feat. Bad Bunny),7lCRuW6BSXGAsxuQV9lR0i,Gigolo Y La Exce,63RZ9So4XZXllOEUw5h5OV,Sexto Sentido (feat. Bad Bunny),2017-08-17,day,67,227291,True,artist,Bad Bunny
0alSPoUfrGb0RdVVG4Lf3n,Ahora Me Llama,790FomKkXshlbRYZFtlgla,KAROL G,12nlJpvrOd7tTOaCxB1UeR,Unstoppable,2017-10-27,day,68,235226,True,artist,Bad Bunny
4WDSPCfr60K0HI7YYhEHKu,Netflixxx,00XhexlJEXQstHimpZN910,Brytiago,3oqNx43mmo2oRt7nkIwJKK,Netflixxx,2017-06-29,day,73,219007,True,artist,Bad Bunny
48AJSd42lXpicsGqcgopof,X ÚLTIMA VEZ,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,3rlJCPz7s7bTifG57wjFpt,LEGENDADDY,2022-03-25,day,66,192477,True,artist,Bad Bunny
3wYRLYuO1M88d8woWUIxct,Ignorantes,4q3ewBCX7sLwd24euuV69X,Bad Bunny,7Hw9RJbQPN0gUx4xjgFLhj,Ignorantes,2020-02-14,day,63,210606,True,artist,Bad Bunny
1BssJgelMGDNOeIy7ZqgOW,Hoy (feat. Bad Bunny),12vb80Km0Ew53ABfJOepVz,Ñengo Flow,4fIyZEKAUwrH6o4rWrdmT0,Real G4 Life Vol. 3,2017-02-10,day,66,234271,True,artist,Bad Bunny
3zOgFY5kpQ6p2cwPIquZks,EL CLúB,4q3ewBCX7sLwd24euuV69X,Bad Bunny,7AZHhkARutSGqJjRwuLijF,EL CLúB,2024-12-05,day,64,222568,True,artist,Bad Bunny
75pQqzwgCjUOSSy5CpmAjy,Pero Ya No,4q3ewBCX7sLwd24euuV69X,Bad Bunny,5lJqux7orBlA1QzyiBGti1,YHLQMDLG,2020-02-29,day,66,160638,False,artist,Bad Bunny
66x45Yh9x397PWpxMX0ZDT,UN DIA (ONE DAY),1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,11GmvpYnbgK0rSryPaV5BP,JOSE,2021-09-10,day,68,232146,False,artist,Bad Bunny
4yZI69ElgxddAUGNJjzc0j,Subimos de Rango,65jIUih0ZeTUJhSTRuYxpi,Omy de Oro,778jBq4jMs5U6f7vNVl626,Subimos de Rango,2019-08-21,day,52,266091,True,artist,Bad Bunny
1GpBcCRShuLTp4gz1Udc8n,Tócate Tu Misma (feat. Bad Bunny),7tU1VKOuxiNZwBZC6RHidA,Alexis y Fido,0k7zDatOV2O7XlQSGeH3s1,Tócate Tu Misma (feat. Bad Bunny),2017-03-31,day,53,252373,True,artist,Bad Bunny
0afpbPmRHldjP59YRslQz9,Mala y Peligrosa (feat. Bad Bunny),4N5fp4zhTsVITZTVfsXpc2,Víctor Manuelle,5g7QwZJvDLvaSGjqFVex0d,Mala y Peligrosa (feat. Bad Bunny),2017-11-03,day,57,264193,False,artist,Bad Bunny
2vvdTrdryjsl8DmPIMDWZU,EL BAÑO,7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,5phDwq3mKZdLiFxyRpgcCV,EL BAÑO,2018-01-12,day,63,214520,False,artist,Bad Bunny
6WK7h2WfMmnX7zOZnfzoYo,I Like It - Dillon Francis Remix,4kYSro6naA4h99UJvo89HB,Cardi B,6oRrfGcUeAwfX1lTdxZFFj,I Like It,2018-06-22,day,51,219200,True,artist,Bad Bunny
3XZeOzJ9tqnu58YP6cqApI,RONCA FREESTYLE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,4gvQO5mEuhbMSrLIuwXkmz,LAS QUE NO IBAN A SALIR,2020-05-10,day,57,150060,True,artist,Bad Bunny
2cpteAYHcd4cjSxAeCkA52,Yo Perreo Sola - Remix,4q3ewBCX7sLwd24euuV69X,Bad Bunny,5PnvXVpTYKTgaSOGF5DGjL,Yo Perreo Sola (Remix),2020-10-14,day,51,174027,True,artist,Bad Bunny
1zaDh3qaGSeSmulNyWlUxm,SI ELLA SALE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,4gvQO5mEuhbMSrLIuwXkmz,LAS QUE NO IBAN A SALIR,2020-05-10,day,53,143240,False,artist,Bad Bunny
1kMUGCt7XLDc5Q64Vl0H8S,Bellacoso,5GcWBUX00IPuWVGMIRK1sS,Residente,0un8ZRojNl6fYFRHYzQ9GG,Bellacoso,2019-07-26,day,61,257864,True,artist,Bad Bunny
3LgtCt7CVhMvNSMGoQD9i1,Me Llamas,4SsVbpTthjScTS7U2hmr1X,Arcángel,3acSJqw0A0SdZX6j1nfXxI,Me Llamas,2016-11-09,day,54,327999,True,artist,Bad Bunny
4UEuIEv9Wc3wtiWUplGJ7q,Ser Bichote,4q3ewBCX7sLwd24euuV69X,Bad Bunny,7CjJb2mikwAWA1V6kewFBF,X 100PRE,2018-12-23,day,59,193210,True,artist,Bad Bunny
67m53SyedbOS5fUGcfT3Ab,Tormenta (feat. Bad Bunny),3AA28KZvwAUcZuOKwyblJQ,Gorillaz,1aoWxOWHJNG1VPpJZwpYl2,Cracker Island (Deluxe),2023-02-27,day,50,193463,True,artist,Bad Bunny
7pNAvsuTCFaXzSSUmfBPxz,Soy El Diablo - Remix,0elWFr7TW8piilVRYJUe4P,Natanael Cano,37zRKUEX9zhmGThutsr2Fo,Soy El Diablo (Remix),2019-10-25,day,60,193621,True,artist,Bad Bunny
3BE3IYsAhqkTiRIR7T7x7M,Gently (feat. Bad Bunny),3TVXtAsR1Inumwj472S9r4,Drake,4Q7cRXio6mF2ImVUCcezPO,For All The Dogs Scary Hours Edition,2023-11-17,day,49,133694,True,artist,Bad Bunny
3fxA2cyH4qLZEm7DcAvZQp,Panamera - Remix,4q3ewBCX7sLwd24euuV69X,Bad Bunny,073Omxp50y0R31WqxlQ1uo,Panamera (Remix),2017-07-28,day,56,296112,True,artist,Bad Bunny
08wJw4VdkKImX4t1vL6MsO,Dime,2wYOpkTJZGByNEOjEnSmoW,Revol,1ySViVTiU5OmwkJdqXGiug,Dime,2018-03-23,day,56,284626,False,artist,Bad Bunny
5xzOYsed90dyzNH7MSigpp,Gently (feat. Bad Bunny),3TVXtAsR1Inumwj472S9r4,Drake,35nmDyrcnDY4B1ISYpKEEs,For All The Dogs,2023-10-05,day,50,133694,False,artist,Bad Bunny
6IlcjkEw26SeAKvjXSwsVb,Estamos Clear,1pf0MPKfKdvS8J779mS1Ay,Miky Woodz,01ebUKWh4BL9IENdRlacII,EL OG,2018-05-25,day,58,275186,True,artist,Bad Bunny
4ByaTrfoYbXrmlbsTG8MTD,Dame Algo,1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel,4zbMionGv9W33xjQfoMyuo,"Los Campeones del Pueblo ""The Big Leagues""",2018-12-14,day,55,237906,True,artist,Bad Bunny
4EJHKSnHENfjOxXWryyNtL,MÁS DE UNA CITA,4q3ewBCX7sLwd24euuV69X,Bad Bunny,4gvQO5mEuhbMSrLIuwXkmz,LAS QUE NO IBAN A SALIR,2020-05-10,day,59,183520,True,artist,Bad Bunny
6NfC2FKfsfzuLIF4lThw0A,Así Soy Yo,2R21vXR83lH98kGeO99Y66,Anuel AA,7JtT7OyWM8BnIS5FXXPMKg,Emmanuel,2020-05-29,day,57,226378,True,artist,Bad Bunny
3fRyX1pLpBrP2Y872UVYYy,"Puerta Abierta (feat. Bad Bunny, Noriel)",2LmcxBak1alK1bf7d1beTr,Juhn,2IKjSXJuTUJ1jurqVnoB7G,"Puerta Abierta (feat. Bad Bunny, Noriel)",2017-04-06,day,56,237960,True,artist,Bad Bunny
0bCPJsVGDxPYwQMDZMi4NW,Estamos Arriba,4q3ewBCX7sLwd24euuV69X,Bad Bunny,48eb5w6QS1v1YnLsw1fNkG,Estamos Arriba,2019-06-14,day,59,225693,True,artist,Bad Bunny
1penZqPCE4BosvlbEBcdvp,Original,4SsVbpTthjScTS7U2hmr1X,Arcángel,4ZDWTeFvEsPmr9jGTrD1s2,Ares,2018-07-13,day,61,246360,True,artist,Bad Bunny
